player,item_id,item_name
Linacool,52028,Vanquisher's Mark of Sanctification
Linacool,50609,Bone Sentinel's Amulet
Linacool,52028,Vanquisher's Mark of Sanctification
Linacool,50668,Greatcloak of the Turned Champion
Linacool,50717,Sanguine Silk Robes
Linacool,50630,Bracers of Eternal Dreaming
Linacool,46017,"Val'anyr, Hammer of Ancient Kings"
Linacool,50635,Sundial of Eternal Dusk
Linacool,52028,Vanquisher's Mark of Sanctification
Linacool,50705,Professor's Bloodied Smock
Linacool,52028,Vanquisher's Mark of Sanctification
Linacool,49894,Blessed Cenarion Boots
Linacool,50636,Memory of Malygos
Linacool,50400,Ashen Band of Endless Wisdom
Linacool,50366,Althor's Abacus
Linacool,47059,Solace of the Defeated
Linacool,50454,Idol of the Black Willow
